player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate,batting_points,bowling_points,total_points
J Suchith,70,62,6,3,20,434,604,112.90322580645164,8.350230414746544,88,504,592
JL Pattinson,15,13,2,0,11,222,321,115.38461538461536,8.675675675675675,17,279,296
SS Cottrell,0,2,0,0,6,131,177,0.0,8.106870229007635,-3,154,151
Ravi Bishnoi,32,52,2,0,68,1460,1861,61.53846153846154,7.647945205479452,34,1706,1740
A Nortje,49,51,6,0,62,1097,1614,96.07843137254902,8.82771194165907,55,1554,1609
T Banton,18,22,1,1,0,0,0,81.81818181818183,,21,0,21
I Udana,15,11,1,1,8,182,286,136.36363636363637,9.428571428571429,18,202,220
D Padikkal,1559,1323,170,42,0,0,0,117.83824640967498,,1823,0,1823
JO Holder,259,217,13,18,59,1049,1489,119.35483870967742,8.516682554814109,318,1479,1797
YBK Jaiswal,1607,1095,199,64,0,1,6,146.7579908675799,36.0,1948,0,1948
RD Gaikwad,2380,1781,217,91,0,0,0,133.63279056709715,,2791,0,2791
TU Deshpande,21,15,2,1,46,831,1275,140.0,9.205776173285198,25,1152,1177
KL Nagarkoti,22,34,1,0,5,185,287,64.70588235294117,9.308108108108108,23,127,150
Abdul Samad,579,408,37,36,2,55,113,141.91176470588235,12.327272727272728,702,44,746
PK Garg,273,247,16,9,0,0,0,110.5263157894737,,317,0,317
JR Philippe,78,80,9,1,0,0,0,97.5,,93,0,93
Kartik Tyagi,13,16,1,0,16,458,720,81.25,9.43231441048035,14,402,416
JDS Neesham,92,93,6,2,8,222,342,98.9247311827957,9.243243243243244,106,202,308
DR Sams,44,48,1,3,15,389,528,91.66666666666666,8.143958868894602,51,379,430
Shahbaz Ahmed,536,467,28,25,21,549,850,114.77516059957172,9.289617486338798,624,527,1151
AT Carey,32,29,0,1,0,0,0,110.34482758620688,,36,0,36
N Jagadeesan,162,155,21,2,0,0,0,104.51612903225806,,197,0,197
JR Hazlewood,19,29,1,0,36,622,830,65.51724137931035,8.006430868167202,20,908,928
CJ Green,0,0,0,0,0,17,24,,8.470588235294118,0,0,0
MR Marsh,665,532,48,38,37,593,803,125.0,8.1247892074199,801,929,1730
P Dubey,23,33,2,0,1,67,91,69.6969696969697,8.149253731343284,25,21,46
Monu Kumar,0,0,0,0,0,16,20,,7.5,0,0,0
KA Jamieson,65,55,5,3,9,179,271,118.1818181818182,9.083798882681563,82,227,309
M Jansen,66,71,5,2,22,487,732,92.95774647887325,9.018480492813142,79,552,631
RM Patidar,799,534,51,54,0,0,0,149.625468164794,,972,0,972
C Sakariya,20,31,3,0,20,460,610,64.51612903225806,7.956521739130435,23,506,529
M Shahrukh Khan,553,413,35,37,0,12,16,133.89830508474577,8.0,674,0,674
JA Richardson,17,27,2,0,3,94,162,62.96296296296296,10.340425531914894,19,69,88
RP Meredith,0,3,0,0,21,415,621,0.0,8.978313253012047,-3,529,526
Lalit Yadav,305,301,27,7,11,294,430,101.32890365448506,8.775510204081632,356,279,635
Virat Singh,15,26,1,0,0,0,0,57.692307692307686,,16,0,16
LI Meriwala,0,0,0,0,1,19,32,,10.105263157894738,0,25,25
Jalaj S Saxena,0,0,0,0,0,18,27,,9.0,0,0,0
FA Allen,14,19,1,0,2,91,136,73.68421052631578,8.967032967032967,15,46,61
KW Richardson,36,39,2,1,21,345,479,92.3076923076923,8.330434782608696,40,529,569
DJ Malan,26,26,1,1,0,0,0,100.0,,31,0,31
KS Bharat,199,168,12,8,0,0,0,118.45238095238096,,237,0,237
PWH de Silva,72,80,7,1,36,557,758,90.0,8.165170556552964,85,904,989
VR Iyer,1326,1000,121,61,3,84,145,132.6,10.357142857142858,1581,69,1650
Umran Malik,23,16,1,2,31,519,785,143.75,9.07514450867052,28,777,805
Akash Singh,0,0,0,0,5,141,227,,9.659574468085106,0,127,127
GD Phillips,65,55,3,6,2,31,40,118.1818181818182,7.741935483870967,86,48,134
AK Markram,995,787,73,35,2,123,173,126.4294790343075,8.439024390243903,1150,46,1196
GHS Garton,2,4,0,0,3,97,136,50.0,8.412371134020617,2,71,73
K Yadav,0,4,0,0,2,54,85,0.0,9.444444444444445,-3,44,41
T Shamsi,2,4,0,0,3,120,185,50.0,9.25,2,69,71
NT Ellis,19,26,0,1,19,365,514,73.07692307692307,8.449315068493151,21,479,500
RV Patel,80,76,6,2,0,20,22,105.26315789473684,6.6,96,0,96
TL Seifert,26,26,4,0,0,0,0,100.0,,32,0,32
Anmolpreet Singh,139,117,19,3,0,0,0,118.8034188034188,,174,0,174
Anuj Rawat,318,276,26,14,0,0,0,115.21739130434784,,382,0,382
IC Porel,0,0,0,0,1,26,42,,9.692307692307692,0,25,25
AU Rashid,22,17,2,1,2,60,91,129.41176470588235,9.1,26,44,70
