player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate
CJ Green,0,0,0,0,0,17,24,,8.470588235294118
MR Marsh,665,532,48,38,37,593,803,125.0,8.1247892074199
P Dubey,23,33,2,0,1,67,91,69.6969696969697,8.149253731343284
Monu Kumar,0,0,0,0,0,16,20,,7.5
KA Jamieson,65,55,5,3,9,179,271,118.18181818181819,9.083798882681565
M Jansen,66,71,5,2,22,487,732,92.95774647887323,9.018480492813142
RM Patidar,799,534,51,54,0,0,0,149.625468164794,
C Sakariya,20,31,3,0,20,460,610,64.51612903225806,7.956521739130435
M Shahrukh Khan,553,413,35,37,0,12,16,133.89830508474577,8.0
JA Richardson,17,27,2,0,3,94,162,62.96296296296296,10.340425531914894
RP Meredith,0,3,0,0,21,415,621,0.0,8.978313253012047
Lalit Yadav,305,301,27,7,11,294,430,101.32890365448506,8.775510204081632
Virat Singh,15,26,1,0,0,0,0,57.692307692307686,
LI Meriwala,0,0,0,0,1,19,32,,10.105263157894738
Jalaj S Saxena,0,0,0,0,0,18,27,,9.0
FA Allen,14,19,1,0,2,91,136,73.68421052631578,8.967032967032967
KW Richardson,36,39,2,1,21,345,479,92.3076923076923,8.330434782608696
DJ Malan,26,26,1,1,0,0,0,100.0,
KS Bharat,199,168,12,8,0,0,0,118.45238095238095,
PWH de Silva,72,80,7,1,36,557,758,90.0,8.165170556552964
VR Iyer,1326,1000,121,61,3,84,145,132.6,10.357142857142858
Umran Malik,23,16,1,2,31,519,785,143.75,9.07514450867052
Akash Singh,0,0,0,0,5,141,227,,9.659574468085106
GD Phillips,65,55,3,6,2,31,40,118.18181818181819,7.741935483870967
AK Markram,995,787,73,35,2,123,173,126.4294790343075,8.439024390243903
GHS Garton,2,4,0,0,3,97,136,50.0,8.412371134020617
K Yadav,0,4,0,0,2,54,85,0.0,9.444444444444445
T Shamsi,2,4,0,0,3,120,185,50.0,9.25
NT Ellis,19,26,0,1,19,365,514,73.07692307692307,8.449315068493151
RV Patel,80,76,6,2,0,20,22,105.26315789473684,6.6
TL Seifert,26,26,4,0,0,0,0,100.0,
Anmolpreet Singh,139,117,19,3,0,0,0,118.80341880341881,
Anuj Rawat,318,276,26,14,0,0,0,115.21739130434783,
